nuts,code,regions,year,year_num,pop,gdp,gdp_pc,occ_agr,occ_ind,occ_ser,occ_tot,gov_type,years_since,federal
R16,D6,hessen,1986,1986,55290000,78623285024.1546,14220.16368677059,0.012479652740097666,0.17489600289383253,0.2627961656719117,0.45017182130584193,federal,9,1
R16,D6,hessen,1987,1987,55440000,80142563143.12439,14455.729282670345,0.011760461760461761,0.17054473304473305,0.27294372294372293,0.45524891774891774,federal,10,1
R16,D6,hessen,1988,1988,55250000,84695031616.98283,15329.417487236711,0.011058823529411765,0.1703891402714932,0.2806153846153846,0.4620633484162896,federal,11,1
R16,D6,hessen,1989,1989,55690000,88665090283.74893,15921.186978586627,0.009965882564194648,0.1706410486622374,0.2835158915424672,0.46412282276889927,federal,12,1
R16,D6,hessen,1990,1990,56610000,94081204231.08217,16619.184637181093,0.00980392156862745,0.17055290584702348,0.2887829005476064,0.46913972796325737,federal,13,1
R16,D6,hessen,1991,1991,57630000,101495348837.2093,17611.547603194394,0.009821273642200243,0.16921742148186708,0.29408294291167797,0.47312163803574525,federal,14,1
R16,D6,hessen,1992,1992,58370000,104719330855.0186,17940.608335620796,0.008583176289189653,0.1644337844783279,0.29686482782251156,0.4698817885900291,federal,15,1
R16,D6,hessen,1993,1993,59230000,100868655643.422,17029.99419946345,0.008019584669930779,0.1534864089144015,0.29341549890258317,0.45492149248691544,federal,16,1
R15,D8,nordrhein-westfalen,1977,1977,170732000,212175604632.09674,12427.406967182293,0.0100156971159478,0.18578825293442355,0.1983810884895626,0.3941850385399339,federal,0,1
R15,D8,nordrhein-westfalen,1978,1978,170303000,214443269230.76926,12591.866803918267,0.00951245720862228,0.1833790361884406,0.2025213883490015,0.39541288174606437,federal,1,1
R15,D8,nordrhein-westfalen,1979,1979,170064000,221792000000,13041.67842694515,0.00893781164737981,0.18551839307554802,0.2073337096622448,0.40178991438517264,federal,2,1
R15,D8,nordrhein-westfalen,1980,1980,170170000,216633843797.85608,12730.436845381446,0.010953752130222719,0.1898572016219075,0.2198859963565846,0.42069695010871483,federal,3,1
R15,D8,nordrhein-westfalen,1981,1981,170580000,210664392905.86633,12349.888199429377,0.008793527963418923,0.1803845702896002,0.21145503576034705,0.40063313401336614,federal,4,1
R15,D8,nordrhein-westfalen,1982,1982,170460000,202477065351.41803,11878.274395835857,0.008741053619617505,0.1729437991317611,0.21084125307990145,0.39252610583128006,federal,5,1
R15,D8,nordrhein-westfalen,1983,1983,169610000,197476136363.63638,11642.953620873555,0.008725900595483756,0.16644065798007193,0.21018807853310537,0.385354637108661,federal,6,1
R15,D8,nordrhein-westfalen,1984,1984,168360000,197135100742.31177,11709.141170248977,0.008553100498930863,0.16458778807317653,0.21364932287954383,0.3867902114516512,federal,7,1
R15,D8,nordrhein-westfalen,1985,1985,167040000,199616900000,11950.24545019157,0.010356800766283526,0.17223419540229884,0.2290469348659004,0.41163793103448276,federal,8,1
R15,D8,nordrhein-westfalen,1986,1986,166740000,202802512077.29468,12162.799093036745,0.010255487585462396,0.17272400143936667,0.2340170325056975,0.4169965215305266,federal,9,1
R15,D8,nordrhein-westfalen,1987,1987,166760000,202199251637.04395,12125.165005819377,0.010122331494363156,0.17082633725113935,0.23914607819621012,0.4200947469417126,federal,10,1
R15,D8,nordrhein-westfalen,1988,1988,167440000,209625835591.68924,12519.45984183524,0.009663162924032489,0.16970258002866698,0.24194338270425228,0.4213091256569517,federal,11,1
R15,D8,nordrhein-westfalen,1989,1989,168740000,216885038693.03525,12853.208408974473,0.009322033898305085,0.17030342538817114,0.24484413891193552,0.42446959819841174,federal,12,1
R15,D8,nordrhein-westfalen,1990,1990,171040000,224265988608.6249,13111.902982262915,0.008863423760523854,0.17110032740879327,0.24952057998129093,0.429484331150608,federal,13,1
R15,D8,nordrhein-westfalen,1991,1991,173500000,233958682170.54263,13484.650269195541,0.008397694524495677,0.16995965417867434,0.2541613832853026,0.4325187319884726,federal,14,1
R15,D8,nordrhein-westfalen,1992,1992,175100000,234939479553.90332,13417.446005362839,0.008178183894917191,0.16587664191890347,0.25716162193032555,0.4312164477441462,federal,15,1
R15,D8,nordrhein-westfalen,1993,1993,176790000,226300359453.63046,12800.51809794844,0.007879404943718537,0.15499179817863,0.2566717574523446,0.41954296057469315,federal,16,1
R311,I1,piemonte,1977,1977,44933000,56599668857.74815,12596.458918333554,0.04629114459306078,0.20060979680858165,0.18471947121269447,0.4316204126143369,ordinary,0,0
R311,I1,piemonte,1978,1978,44946000,56658565960.35849,12605.919539082115,0.048636141147154366,0.19523428113736485,0.1875139055755796,0.4313843278600988,ordinary,1,0
R311,I1,piemonte,1979,1979,44931000,58642071825.559845,13051.58394550752,0.04533618214595713,0.19414212904230932,0.19351895128085286,0.4329972624691193,ordinary,2,0
R311,I1,piemonte,1980,1980,44880000,59022054018.20116,13151.081554857654,0.04725935828877005,0.1947638146167558,0.19904188948306595,0.4410650623885918,ordinary,3,0
R311,I1,piemonte,1981,1981,44810000,57170096460.01499,12758.334403038383,0.04510153983485829,0.18636465074760097,0.20357063155545638,0.43503682213791567,ordinary,4,0
R311,I1,piemonte,1982,1982,44730000,55056547137.492966,12308.640093336231,0.0431924882629108,0.18323272971160295,0.2055443773753633,0.43196959534987706,ordinary,5,0
R311,I1,piemonte,1983,1983,44510000,53456329827.197586,12009.95952082624,0.045450460570658276,0.17593799146259267,0.21550213435183105,0.436890586385082,ordinary,6,0
R311,I1,piemonte,1984,1984,44230000,53436407297.32466,12081.484806087421,0.04576079583992765,0.1584444946868641,0.22597784309292335,0.4301831336197151,ordinary,7,0
R311,I1,piemonte,1985,1985,43970000,54565587349.3976,12409.73103238517,0.043415965430975666,0.15419604275642484,0.23111212190129635,0.42872413008869686,ordinary,8,0
R311,I1,piemonte,1986,1986,43780000,55944536743.88473,12778.560243007018,0.04301050708085884,0.15676107811786202,0.23378254910918228,0.4335541343079031,ordinary,9,0
R311,I1,piemonte,1987,1987,43590000,56741520333.7407,13017.095740706745,0.04179857765542556,0.15932553337921543,0.2364991970635467,0.43762330809818767,ordinary,10,0
R311,I1,piemonte,1988,1988,43440000,59941129116.50658,13798.602466967444,0.039940147329650094,0.16599907918968693,0.2431399631675875,0.4490791896869245,ordinary,11,0
R311,I1,piemonte,1989,1989,43340000,61474243727.03822,14184.181755200329,0.0372634979233964,0.16760498384863867,0.24762344254730043,0.4524919243193355,ordinary,12,0
R311,I1,piemonte,1990,1990,43250000,61307104076.71407,14175.052965714236,0.03660115606936416,0.16501734104046242,0.2529248554913295,0.4545433526011561,ordinary,13,0
R311,I1,piemonte,1991,1991,43090000,60973531671.20608,14150.274233280594,0.03759572986771873,0.16323973079600834,0.2605012763982362,0.4613367370619633,ordinary,14,0
R311,I1,piemonte,1992,1992,43000000,60295077928.08512,14022.111146066307,0.034534883720930235,0.15325581395348836,0.2633720930232558,0.4511627906976744,ordinary,15,0
R311,I1,piemonte,1993,1993,43040000,56698132951.24819,13173.358027706363,0.03220260223048327,0.13938197026022306,0.26252323420074347,0.4341078066914498,ordinary,16,0
R312,I2,valle d'aosta,1977,1977,1117000,1628490897.7686517,14579.14859237826,0.07699194270367055,0.162041181736795,0.2775290957923008,0.5165622202327663,special statute,0,0
R312,I2,valle d'aosta,1978,1978,1119000,1621713531.4758277,14492.524856799175,0.06523681858802502,0.1546023235031278,0.2797140303842717,0.49955317247542447,special statute,1,0
R312,I2,valle d'aosta,1979,1979,1122000,1633264290.5407994,14556.722732092683,0.062388591800356503,0.15062388591800357,0.28431372549019607,0.49732620320855614,special statute,2,0
R312,I2,valle d'aosta,1980,1980,1120000,1651206419.4977944,14742.914459801736,0.0625,0.15,0.29732142857142857,0.5098214285714285,special statute,3,0
R312,I2,valle d'aosta,1981,1981,1120000,1621474278.888231,14477.448918644921,0.06428571428571428,0.14464285714285716,0.3044642857142857,0.5133928571428571,special statute,4,0
R312,I2,valle d'aosta,1982,1982,1120000,1594255458.0401828,14234.423732501635,0.06160714285714286,0.14821428571428572,0.30892857142857144,0.51875,special statute,5,0
R312,I2,valle d'aosta,1983,1983,1120000,1549305033.8091662,13833.080659010411,0.06339285714285714,0.15357142857142858,0.30357142857142855,0.5205357142857143,special statute,6,0
R312,I2,valle d'aosta,1984,1984,1120000,1560713402.6024892,13934.94109466508,0.06339285714285714,0.13303571428571428,0.325,0.5214285714285715,special statute,7,0
R312,I2,valle d'aosta,1985,1985,1120000,1599171686.7469878,14278.318631669536,0.0625,0.125,0.33214285714285713,0.5196428571428572,special statute,8,0
R312,I2,valle d'aosta,1986,1986,1130000,1644183916.213006,14550.30014347793,0.06283185840707965,0.12831858407079647,0.3407079646017699,0.531858407079646,special statute,9,0
R312,I2,valle d'aosta,1987,1987,1130000,1673263482.6498094,14807.641439378844,0.05752212389380531,0.11946902654867257,0.33008849557522124,0.5070796460176992,special statute,10,0
R312,I2,valle d'aosta,1988,1988,1130000,1745048516.2447994,15442.907223405306,0.05663716814159292,0.12212389380530973,0.3292035398230089,0.5079646017699115,special statute,11,0
R312,I2,valle d'aosta,1989,1989,1140000,1834336486.0991693,16090.670930694465,0.054385964912280704,0.10701754385964912,0.3394736842105263,0.5008771929824561,special statute,12,0
R312,I2,valle d'aosta,1990,1990,1140000,1841120743.3540988,16150.181959246482,0.054385964912280704,0.11140350877192982,0.3447368421052632,0.5105263157894737,special statute,13,0
R312,I2,valle d'aosta,1991,1991,1150000,1850338710.803827,16089.90183307676,0.05478260869565217,0.10695652173913044,0.3452173913043478,0.5069565217391304,special statute,14,0
R312,I2,valle d'aosta,1992,1992,1160000,1897528056.6827943,16358.00048864478,0.05086206896551724,0.10172413793103448,0.35086206896551725,0.503448275862069,special statute,15,0
R312,I2,valle d'aosta,1993,1993,1170000,1812686813.0105045,15493.049683850466,0.04786324786324787,0.10512820512820513,0.35555555555555557,0.5085470085470085,special statute,16,0
R313,I3,liguria,1977,1977,18444000,21002939621.20233,11387.410334635833,0.031229668184775537,0.11412925612665366,0.24495770982433313,0.3903166341357623,ordinary,0,0
R313,I3,liguria,1978,1978,18394000,21417691627.856384,11643.84670428204,0.03087963466347722,0.10916603240187017,0.2490486028052626,0.38909426987060997,ordinary,1,0
R313,I3,liguria,1979,1979,18327000,22535833699.68235,12296.520816108665,0.030501445954056856,0.1079827576799258,0.2541059638784307,0.3925901675124134,ordinary,2,0
R313,I3,liguria,1980,1980,18240000,22725750496.646217,12459.293035442006,0.029331140350877194,0.10707236842105264,0.26096491228070173,0.3973684210526316,ordinary,3,0
R313,I3,liguria,1981,1981,18140000,21854693990.991364,12047.7916157615,0.029106945975744213,0.10242557883131202,0.2628996692392503,0.39443219404630653,ordinary,4,0
R313,I3,liguria,1982,1982,18040000,21333139914.41213,11825.465584485659,0.02804878048780488,0.09800443458980045,0.2587028824833703,0.3847560975609756,ordinary,5,0
R313,I3,liguria,1983,1983,17910000,20377066115.70248,11377.47968492601,0.028419877163595758,0.09737576772752653,0.25795644891122277,0.38375209380234504,ordinary,6,0
R313,I3,liguria,1984,1984,17770000,21282591270.49323,11976.69739476265,0.02988182329769274,0.0952166572875633,0.27214406302757455,0.3972425436128306,ordinary,7,0
R313,I3,liguria,1985,1985,17630000,21607981927.710846,12256.370917589817,0.02802041973908111,0.09591605218377765,0.28984685195689164,0.4137833238797504,ordinary,8,0
R313,I3,liguria,1986,1986,17480000,21588386292.314068,12350.335407502329,0.028832951945080093,0.0933066361556064,0.2918192219679634,0.4139588100686499,ordinary,9,0
R313,I3,liguria,1987,1987,17320000,21895023334.227962,12641.468437775959,0.028695150115473442,0.09665127020785219,0.29047344110854506,0.41581986143187066,ordinary,10,0
R313,I3,liguria,1988,1988,17190000,22671558234.856724,13188.806419346553,0.028679464805119254,0.09354275741710297,0.29668411867364747,0.4189063408958697,ordinary,11,0
R313,I3,liguria,1989,1989,17060000,23439149303.29376,13739.243436866213,0.02637749120750293,0.09765533411488862,0.2988276670574443,0.42286049237983586,ordinary,12,0
R313,I3,liguria,1990,1990,16950000,23875635895.886517,14085.920882528919,0.025958702064896755,0.09433628318584071,0.2990560471976401,0.41935103244837757,ordinary,13,0
R313,I3,liguria,1991,1991,16850000,24503905899.254738,14542.377388281742,0.02712166172106825,0.0915727002967359,0.29994065281899107,0.41863501483679527,ordinary,14,0
R313,I3,liguria,1992,1992,16730000,24123384550.939983,14419.237627579188,0.024985056784219965,0.08864315600717275,0.30221159593544533,0.415839808726838,ordinary,15,0
R313,I3,liguria,1993,1993,16690000,22783296972.843464,13650.866969948152,0.023606950269622527,0.08154583582983822,0.29970041941282205,0.4048532055122828,ordinary,16,0
R32,I4,lombardia,1977,1977,88017000,121238075204.23125,13774.393038189353,0.018757739982048924,0.21758296692684367,0.19088357930854266,0.42722428621743525,ordinary,0,0
R32,I4,lombardia,1978,1978,88302000,121951320355.67711,13810.708744499228,0.01937668455980612,0.21552173223709542,0.19207945459898984,0.4269778713958914,ordinary,1,0
R32,I4,lombardia,1979,1979,88522000,126553569215.05518,14296.284450764235,0.01921556223311719,0.2133593908858815,0.19482162626239805,0.4273965793813967,ordinary,2,0
R32,I4,lombardia,1980,1980,88680000,128615113001.23877,14503.28292751903,0.01949706811005864,0.21726432115471359,0.20036084799278303,0.4371222372575553,ordinary,3,0
R32,I4,lombardia,1981,1981,88770000,126991567264.79271,14305.685171205667,0.019589951560211784,0.20960910217415793,0.2085614509406331,0.4377605046750028,ordinary,4,0
R32,I4,lombardia,1982,1982,88860000,123707171192.48346,13921.581273068135,0.018579788431240155,0.20238577537699753,0.21281791582264237,0.43378347963088004,ordinary,5,0
R32,I4,lombardia,1983,1983,88750000,119822126220.88655,13501.084644606935,0.019414084507042254,0.19514366197183097,0.2160676056338028,0.43062535211267605,ordinary,6,0
R32,I4,lombardia,1984,1984,88550000,120045985824.2183,13556.858929894783,0.019446640316205535,0.18402032749858838,0.22531902879728966,0.42878599661208355,ordinary,7,0
R32,I4,lombardia,1985,1985,88420000,123508283132.53012,13968.364977666832,0.017812712056095907,0.1815765663876951,0.2337254014928749,0.4331146799366659,ordinary,8,0
R32,I4,lombardia,1986,1986,88320000,127678059552.29547,14456.30203264215,0.01821784420289855,0.18233695652173912,0.24089673913043477,0.44145153985507246,ordinary,9,0
R32,I4,lombardia,1987,1987,88210000,129639876384.61479,14696.732386873913,0.017809772134678607,0.18012696973132297,0.24708082983788687,0.44501757170388845,ordinary,10,0
R32,I4,lombardia,1988,1988,88210000,136458221951.83401,15469.69980181771,0.016823489400294753,0.17904999433170843,0.25433624305634284,0.450209726788346,ordinary,11,0
R32,I4,lombardia,1989,1989,88290000,141442860823.77228,16020.258333194277,0.015936119605844377,0.181764639256994,0.2548533242722845,0.4525540831351229,ordinary,12,0
R32,I4,lombardia,1990,1990,88390000,141825124434.97385,16045.381200924749,0.015533431383640684,0.18732888335784592,0.2551306708903722,0.4579929856318588,ordinary,13,0
R32,I4,lombardia,1991,1991,88510000,142644438458.39194,16116.194606077495,0.01584001807705344,0.18187775392611005,0.26067111060897075,0.45838888261213423,ordinary,14,0
R32,I4,lombardia,1992,1992,88540000,140203553628.967,15835.05236378665,0.01464874632934267,0.1781680596340637,0.257725321888412,0.4505421278518184,ordinary,15,0
R32,I4,lombardia,1993,1993,88820000,132449632883.18138,14912.14060832936,0.013949560909705021,0.17169556406214817,0.2522179689259176,0.4378630938977708,ordinary,16,0
R331,I5,trentino-alto adige,1977,1977,8650000,9931541038.339695,11481.550333340689,0.06936416184971098,0.11884393063583815,0.25780346820809247,0.4460115606936416,special statute,0,0
